4544587,3641023,8579615,8051642,4456997,8516686,6463047
3766353,5215183,9160602,4830306,7501931,6522546,11144556
9278021,7457384,7045280,5981819,12302457,12407606,6382428
11240948,8783270,3847822,9349226,3454731,11092273,5474424
12405950,8427413,7025396,9848641,11285464,11462738,11772557
8196180,6960592,8893443,10921757,6586020,8826317,11909375
7943535,6500592,6780715,5730854,9641566,3246514,8750803
10287248,9777334,9655061,7881668,10960118,8547947,9418013
8316503,11046180,2163798,9882675,5897396,7772664,11970981
4069213,7466828,9288627,10789153,7837302,4741940,11124553
6042116,3323168,6678614,5545321,5377574,11602449,12071006
8908102,10032902,12403478,10360508,11720208,9789795,11572904
8488876,4378789,11826440,8879964,10797891,11904306,8058127
4073730,11294394,3543070,4585626,8578964,12018342,5695028
2973509,7667009,6367663,7588436,12365065,10537537,9407453
10965963,6198118,9789854,11350488,5035861,4555410,9242361
5990753,7365262,11758901,5905516,9962694,7960579,8572641
6468938,5857450,1570270,11017320,12785016,8250116,4147847
3248332,10734856,4840248,3456945,7741041,7948119,7813025
9762519,7983910,8835876,7041927,6363173,4358560,10733152
8364119,11084847,8432159,5981011,9161885,11235421,6263684
5731312,9936452,2996903,10255351,8936722,10082618,6286469
11071207,8938501,8024360,7021892,10324255,4648360,6233642
10601579,11038565,8234477,6421322,1873493,10858663,10336776
6220470,12255108,12400984,6614492,6032172,8557256,11152625
9851142,4743189,10096019,9716528,3347258,3655513,4274252
10031808,7660192,5978095,6715856,4937456,10023905,5084752
4946680,2987856,5040936,5428125,8114982,10387516,4345937
5284133,9699950,9899216,6636041,10556068,10538299,9908321
6781535,6437727,10553491,10451382,6837536,9286090,6531655
9552608,6805991,5174920,8260386,10134800,4949770,5632609
10296163,12021324,6347662,8784168,6232503,12689160,7304010
5781192,6950510,6213768,9764512,9336200,4366725,7875044
6806632,8382182,8459899,4850306,8056861,11014921,6889235
4281895,5388121,8029996,11128654,9049300,7267000,2448096
5393558,10744768,7743389,5717507,8009039,7305649,11700763
8695779,2972706,5559631,11811765,7940546,5197500,11133313
3120320,9031700,12007574,4043400,8024703,7757412,9542921
11409698,8808374,11766713,3837702,2165188,6105241,10659278
2306740,6424395,10600885,6225172,5093343,7778021,9366988
5596440,12023684,5430282,8720406,11032451,6605754,4562852
9963461,3936357,6669258,7815644,11600149,12058767,8505874
10987439,9165106,7687703,8087944,11350057,11042903,7106053
6548447,10810885,8713296,8976866,8611491,6142628,7020197
5218014,5385245,12055763,8006757,6777971,8349031,3860631
6859813,10006183,3328423,5876323,2583942,10858135,11549981
5632781,5698432,7986966,7708010,8772715,2557063,4255422
7846730,7771592,5196091,5010312,7938468,5094944,3430228
9468382,9895787,4273619,7838296,3967654,7939618,8428146
5473556,1434286,6507784,5530330,7336697,7108982,12107978
7422883,6153219,9598334,9517604,7771914,11393095,9713610
9579192,12402176,10203687,11908414,8848899,4540545,10164839
4159347,12834614,5025234,3654629,8716121,6268256,3323665
7950775,9730249,6436854,9788113,9766271,5262641,9613452
6781535,6437727,10553491,10451382,6837536,9286090,6531655
8488876,4378789,11826440,8879964,10797891,11904306,8058127
4851217,8262223,10222716,12300949,5197256,5811454,11232111
2695740,8328834,7026613,11700922,6279038,6604237,9582633
4851217,8262223,10222716,12300949,5197256,5811454,11232111
8378656,8591818,7104101,4445630,10028156,6046978,9896552
11197126,3558874,7802947,7802110,3109620,3433482,4158888
3869825,3847835,5620849,10160509,12598744,6591477,12305660
4445630,8591818,8378656,6035723,9896552,8087948,2450421
3869326,4172861,6876382,4565627,4366731,3221099,3454968
