#Time Flux
-2.935874353580081220e+01 -2.167187500000000000e+01
-2.924301399490292397e+01 -1.392968750000000000e+01
-2.912625492565788932e+01 -9.750000000000000000e+00
-2.900793223697553458e+01 -1.615625000000000000e+01
-2.888894965125950876e+01 -1.246875000000000000e+01
-2.877303830960960340e+01 -2.060156250000000000e+01
-2.865627806311462678e+01 -1.509375000000000000e+01
-2.853797487504641595e+01 -2.421875000000000000e+01
-2.841778801836051116e+01 -3.260937500000000000e+01
-2.830306258804927211e+01 -1.657031250000000000e+01
-2.818630127333094038e+01 -2.796875000000000000e+01
-2.806921361105639789e+01 -1.446093750000000000e+01
-2.794832989693939851e+01 -1.270312500000000000e+01
-2.783223843122473795e+01 -2.620312500000000000e+01
-2.771183557713743539e+01 -3.157812500000000000e+01
-2.759380184316582074e+01 -5.110156250000000000e+01
-2.747798489530330812e+01 -5.593750000000000000e+01
-2.736195516009580331e+01 -5.962500000000000000e+01
-2.724187812521563501e+01 -6.844531250000000000e+01
-2.712374604474538842e+01 -4.968750000000000000e+01
-2.700798911649260958e+01 -4.837500000000000000e+01
-2.689167768760677291e+01 -4.284375000000000000e+01
-2.677141188004540595e+01 -4.642187500000000000e+01
-2.665180145006746670e+01 -2.868750000000000000e+01
-2.653838251414025251e+01 -1.164062500000000000e+01
-2.641638917713723345e+01 -1.778906250000000000e+01
-2.629966555341312073e+01 -1.423437500000000000e+01
-2.618390054882041795e+01 -4.409375000000000000e+01
-2.606787566211721696e+01 -4.095312500000000000e+01
-2.594643004036922207e+01 -3.481250000000000000e+01
-2.583058212315160063e+01 -2.126562500000000000e+01
-2.571187275919004378e+01 -2.142968750000000000e+01
-2.559562979158806684e+01 -1.431250000000000000e+01
-2.547670796832539963e+01 -1.315625000000000000e+01
-2.535950307657918756e+01 -5.312500000000000000e+00
-2.524609116149954957e+01 3.382812500000000000e+00
-2.512567125653447420e+01 1.629687500000000000e+01
-2.500530531886477092e+01 2.651562500000000000e+01
-2.488950730527727728e+01 3.264062500000000000e+01
-2.477389319168982240e+01 2.870312500000000000e+01
-2.465841207281781067e+01 2.351562500000000000e+00
-2.453532198840264300e+01 -9.968750000000000000e+00
-2.441951176144362989e+01 -2.070312500000000000e+01
-2.430390864805998774e+01 -2.484375000000000000e+01
-2.417693839053322336e+01 -5.843750000000000000e+00
-2.406583395323039554e+01 9.046875000000000000e+00
-2.394917907819041147e+01 1.317187500000000000e+01
-2.382957868430753479e+01 1.474218750000000000e+01
-2.371131942406977089e+01 2.587500000000000000e+01
-2.359427581394709250e+01 2.067968750000000000e+01
-2.347935879038783469e+01 2.014062500000000000e+01
-2.335908188008258435e+01 7.312500000000000000e+00
-2.324102471932789626e+01 1.692187500000000000e+01
-2.312537086836971412e+01 7.187500000000000000e+00
-2.300436353542613688e+01 -1.046875000000000000e+00
-2.288717135917764267e+01 1.656250000000000000e+00
-2.277135046241495786e+01 4.117187500000000000e+00
-2.265538685489889303e+01 7.625000000000000000e+00
-2.253441349590434584e+01 7.500000000000000000e+00
-2.241916021902804346e+01 2.856250000000000000e+01
-2.230134149880763061e+01 2.812500000000000000e+00
-2.218436061606996645e+01 -1.559375000000000000e+01
-2.206385890445534415e+01 -4.028125000000000000e+01
-2.194692616297112409e+01 -4.231250000000000000e+01
-2.183134717369688360e+01 -5.112500000000000000e+01
-2.171108664852987147e+01 -4.853906250000000000e+01
-2.159335742572555716e+01 -3.318750000000000000e+01
-2.147706551672568764e+01 -4.350000000000000000e+01
-2.135774865830538261e+01 -4.193750000000000000e+01
-2.123884029389668626e+01 -5.520312500000000000e+01
-2.112392524890464074e+01 -5.031250000000000000e+01
