#Time Flux
-1.409927492901658752e+00 -1.569140625000000000e+01
-1.403658243719853260e+00 -1.539062500000000000e+01
-1.398176999770601725e+00 -1.500585937500000000e+01
-1.392874392142347872e+00 -1.272656250000000000e+01
-1.387133316979390685e+00 -1.408007812500000000e+01
-1.381478338919257531e+00 -1.353710937500000000e+01
-1.376326218355043096e+00 -1.453125000000000000e+01
-1.370028470541040377e+00 -1.384375000000000000e+01
-1.364123294421023758e+00 -1.491796875000000000e+01
-1.358879782170733463e+00 -1.628515625000000000e+01
-1.352719891487477177e+00 -1.187500000000000000e+01
-1.347602713694449506e+00 -1.395898437500000000e+01
-1.341903820536341385e+00 -1.713671875000000000e+01
-1.336196632881122781e+00 -1.701953125000000000e+01
-1.331130666126379758e+00 -1.360742187500000000e+01
-1.325248511802000095e+00 -1.464843750000000000e+01
-1.319007368509473643e+00 -1.398437500000000000e+01
-1.313445197229859751e+00 -1.739062500000000000e+01
-1.307959411697844132e+00 -1.419140625000000000e+01
-1.302143858218872907e+00 -1.610156250000000000e+01
-1.296542743207773185e+00 -1.527148437500000000e+01
-1.291063841510895926e+00 -1.173437500000000000e+01
-1.285267352514327222e+00 -1.734179687500000000e+01
-1.279988522616566371e+00 -1.407812500000000000e+01
-1.274168931516743264e+00 -1.801367187500000000e+01
-1.268681162334533319e+00 -1.437109375000000000e+01
-1.262903867212260778e+00 -1.525781250000000000e+01
-1.257103794172897082e+00 -1.310156250000000000e+01
-1.251419739397492847e+00 -1.487500000000000000e+01
-1.245976480595732738e+00 -1.522656250000000000e+01
-1.240043529595943106e+00 -1.611132812500000000e+01
-1.234245804964245963e+00 -1.677734375000000000e+01
-1.229128256051639667e+00 -1.599609375000000000e+01
-1.223335822681782759e+00 -1.459375000000000000e+01
-1.217483547895969132e+00 -1.115234375000000000e+01
-1.211928208413830532e+00 -1.676171875000000000e+01
-1.206339811231037729e+00 -1.440820312500000000e+01
-1.200551212104580046e+00 -1.659765625000000000e+01
-1.195106874188082813e+00 -1.774609375000000000e+01
-1.188959810479667922e+00 -1.418750000000000000e+01
-1.183245331367637654e+00 -1.461328125000000000e+01
-1.178027322184071579e+00 -1.241015625000000000e+01
-1.172224274777486031e+00 -1.448242187500000000e+01
-1.166853461007070436e+00 -1.365625000000000000e+01
-1.161501163637169043e+00 -1.344140625000000000e+01
-1.155400073106225278e+00 -1.417578125000000000e+01
-1.149480752363121638e+00 -1.407617187500000000e+01
-1.144255327163391733e+00 -1.326367187500000000e+01
-1.137977277827978639e+00 -1.375000000000000000e+01
-1.132791098293763454e+00 -1.306835937500000000e+01
-1.127255025212019035e+00 -1.264257812500000000e+01
-1.121547041032981085e+00 -1.451562500000000000e+01
-1.115675163511324008e+00 -1.117382812500000000e+01
-1.110685030063869760e+00 -1.613671875000000000e+01
-1.104825371388138855e+00 -1.590820312500000000e+01
-1.099200005023845961e+00 -1.425976562500000000e+01
-1.093332819971001513e+00 -1.463281250000000000e+01
-1.087543068057073903e+00 -1.341406250000000000e+01
-1.081733942558583905e+00 -1.396093750000000000e+01
-1.076193653380306259e+00 -1.343554687500000000e+01
-1.070551982447735639e+00 -1.245703125000000000e+01
-1.065539834703679745e+00 -1.164062500000000000e+01
-1.059671452519195256e+00 -1.344921875000000000e+01
-1.053498893283579818e+00 -1.464843750000000000e+01
-1.048034233347371114e+00 -1.352343750000000000e+01
-1.042422419726818816e+00 -1.423828125000000000e+01
-1.036730935046204394e+00 -1.421289062500000000e+01
-1.031463505946103254e+00 -1.252929687500000000e+01
-1.025376135077335604e+00 -1.080859375000000000e+01
-1.019606317244262428e+00 -1.387695312500000000e+01
-1.014355670606835957e+00 -1.052734375000000000e+01
-1.008550141654978027e+00 -1.358007812500000000e+01
-1.002848937579203792e+00 -1.204101562500000000e+01
-9.975481827633689846e-01 -1.542382812500000000e+01
-9.916957628331406482e-01 -1.247265625000000000e+01
-9.858810437042748731e-01 -1.402343750000000000e+01
-9.802852471584442284e-01 -1.403906250000000000e+01
-9.744447742952093705e-01 -1.280078125000000000e+01
-9.687454889375510803e-01 -1.402734375000000000e+01
-9.634890670975568838e-01 -1.471484375000000000e+01
-9.576945551830604586e-01 -1.369140625000000000e+01
-9.518538672142282664e-01 -1.297070312500000000e+01
-9.466573788886503138e-01 -1.080859375000000000e+01
-9.407999477887933892e-01 -1.312890625000000000e+01
-9.350290527145439512e-01 -1.446875000000000000e+01
-9.295877379328763013e-01 -1.245703125000000000e+01
-9.233156322923097292e-01 -1.287890625000000000e+01
-9.177795801442076851e-01 -1.417187500000000000e+01
-9.124807446881897377e-01 -1.542578125000000000e+01
-9.068011339156605288e-01 -1.231250000000000000e+01
-9.013185439412492173e-01 -1.102734375000000000e+01
-8.958810249066795350e-01 -1.358593750000000000e+01
-8.897718513121937178e-01 -1.219921875000000000e+01
-8.838881225950361298e-01 -1.075390625000000000e+01
-8.786607363828684569e-01 -1.234570312500000000e+01
-8.723359758703210787e-01 -1.021875000000000000e+01
-8.671613746620447927e-01 -1.029101562500000000e+01
-8.616970466973015164e-01 -1.363671875000000000e+01
-8.558504765445213991e-01 -1.229296875000000000e+01
-8.502197011679504257e-01 -1.298046875000000000e+01
-8.450632862062317230e-01 -9.619140625000000000e+00
-8.391954035134370216e-01 -1.422460937500000000e+01
-8.335472588266892302e-01 -1.495312500000000000e+01
-8.276879334647961883e-01 -1.125000000000000000e+01
-8.218017498496497097e-01 -1.303125000000000000e+01
-8.168792386335788080e-01 -1.288281250000000000e+01
-8.107549797495678945e-01 -1.128906250000000000e+01
-8.050645476992315253e-01 -1.037890625000000000e+01
-7.999133268509588390e-01 -1.307617187500000000e+01
-7.940289434547036507e-01 -1.075585937500000000e+01
-7.882517173245924269e-01 -8.503906250000000000e+00
-7.826081838022407311e-01 -1.103515625000000000e+01
-7.769133053633030528e-01 -1.078125000000000000e+01
-7.711290678576503410e-01 -1.262890625000000000e+01
-7.658347914824297220e-01 -8.181640625000000000e+00
-7.597835021165728620e-01 -1.231445312500000000e+01
-7.539653337327134608e-01 -1.301171875000000000e+01
-7.487227802455329595e-01 -8.011718750000000000e+00
-7.429378829088264524e-01 -1.104687500000000000e+01
-7.374748051967294771e-01 -1.241406250000000000e+01
-7.319874047810355222e-01 -1.244921875000000000e+01
-7.260782392550328979e-01 -1.073437500000000000e+01
-7.202746249443929827e-01 -1.192187500000000000e+01
-7.149985057578183145e-01 -1.125390625000000000e+01
-7.087728052122956868e-01 -7.175781250000000000e+00
-7.032305554952689164e-01 -8.710937500000000000e+00
