#Time Flux
-2.700522116267469741e+00 -2.718359375000000000e+01
-2.690596805903568978e+00 -2.717187500000000000e+01
-2.677804440446776013e+00 -3.124609375000000000e+01
-2.669736469044819316e+00 -2.868750000000000000e+01
-2.657278815603927313e+00 -3.017578125000000000e+01
-2.648855897990864960e+00 -3.074609375000000000e+01
-2.636349222073278042e+00 -2.849609375000000000e+01
-2.628024666884828164e+00 -3.289648437500000000e+01
-2.615438024488362601e+00 -2.584960937500000000e+01
-2.607194877720848680e+00 -3.310937500000000000e+01
-2.594352817712874071e+00 -3.109765625000000000e+01
-2.585667093540193306e+00 -3.402734375000000000e+01
-2.571936203398745846e+00 -2.681250000000000000e+01
-2.561205163943755636e+00 -3.218164062500000000e+01
-2.549487003187769218e+00 -3.304687500000000000e+01
-2.539543230482610880e+00 -3.352343750000000000e+01
-2.527683473090091226e+00 -3.350976562500000000e+01
-2.516627956784153852e+00 -3.522656250000000000e+01
-2.506457182265238615e+00 -3.196093750000000000e+01
-2.493902484944987563e+00 -3.330078125000000000e+01
-2.485838771059588836e+00 -3.533984375000000000e+01
-2.473330287873537259e+00 -3.334375000000000000e+01
-2.464788405800906190e+00 -2.958984375000000000e+01
-2.452441987684986557e+00 -3.446093750000000000e+01
-2.444099481399115703e+00 -3.353515625000000000e+01
-2.431467708842946607e+00 -3.558203125000000000e+01
-2.423249960879710230e+00 -3.550585937500000000e+01
-2.410374620884654817e+00 -3.964257812500000000e+01
-2.399737129030635074e+00 -3.427148437500000000e+01
-2.388011504451103661e+00 -3.243945312500000000e+01
-2.377174589458387999e+00 -3.592187500000000000e+01
-2.366227966688427387e+00 -3.291601562500000000e+01
-2.355382320683217401e+00 -3.824609375000000000e+01
-2.343592547787064717e+00 -3.230859375000000000e+01
-2.331723586300736173e+00 -3.980468750000000000e+01
-2.322548653272091812e+00 -3.089062500000000000e+01
-2.309927332004440004e+00 -3.508593750000000000e+01
-2.301646966428931407e+00 -3.413867187500000000e+01
-2.289057231885612609e+00 -3.582421875000000000e+01
-2.280887855000031550e+00 -3.350781250000000000e+01
-2.268457725005228909e+00 -3.588671875000000000e+01
-2.260189922089574921e+00 -3.123437500000000000e+01
-2.247454083204061703e+00 -3.837304687500000000e+01
-2.239301228642816000e+00 -3.826171875000000000e+01
-2.226217408570168033e+00 -3.583593750000000000e+01
-2.214878306100088068e+00 -3.484375000000000000e+01
-2.203483398960907280e+00 -3.296093750000000000e+01
-2.193090509490662754e+00 -3.694531250000000000e+01
-2.181698406454179562e+00 -3.501171875000000000e+01
-2.171408695254447352e+00 -3.765039062500000000e+01
-2.159525381993388393e+00 -3.434765625000000000e+01
-2.147183134572637542e+00 -3.354296875000000000e+01
-2.138554453180930182e+00 -3.384375000000000000e+01
-2.126065558706173420e+00 -3.510937500000000000e+01
-2.117661933257712903e+00 -3.610546875000000000e+01
-2.105160434954973070e+00 -3.760546875000000000e+01
-2.096869144028163490e+00 -3.039062500000000000e+01
-2.084489563830958403e+00 -3.665234375000000000e+01
-2.076108194227508363e+00 -2.712890625000000000e+01
-2.063437292753336649e+00 -3.732226562500000000e+01
-2.055349587011678025e+00 -3.107421875000000000e+01
-2.042260419923344728e+00 -3.266015625000000000e+01
-2.030508336287399018e+00 -2.891796875000000000e+01
-2.019212351724243959e+00 -3.171484375000000000e+01
-2.008894375494216789e+00 -3.409570312500000000e+01
-1.998439671237690618e+00 -3.002929687500000000e+01
-1.987430756728079118e+00 -3.200195312500000000e+01
-1.975608776715203518e+00 -3.203906250000000000e+01
-1.962681860682145896e+00 -3.100390625000000000e+01
-1.954578671513827359e+00 -2.993359375000000000e+01
-1.942133914469737377e+00 -3.146484375000000000e+01
-1.933780891601580620e+00 -2.613085937500000000e+01
-1.921224884167891389e+00 -2.932031250000000000e+01
-1.913006362756830114e+00 -2.908203125000000000e+01
-1.900581115298210833e+00 -3.629687500000000000e+01
-1.892206503436845821e+00 -2.451953125000000000e+01
-1.879490362371548429e+00 -3.313281250000000000e+01
-1.871443820746153008e+00 -2.699609375000000000e+01
-1.858248291613939784e+00 -2.941210937500000000e+01
-1.846496361585101553e+00 -2.474804687500000000e+01
-1.834978188816137390e+00 -2.735742187500000000e+01
-1.824693668898921928e+00 -2.770312500000000000e+01
-1.813240600239314659e+00 -2.362109375000000000e+01
-1.803004521631315527e+00 -2.633789062500000000e+01
-1.791703344455740421e+00 -2.122265625000000000e+01
-1.778714037879103316e+00 -2.204492187500000000e+01
-1.770659459851128048e+00 -1.949218750000000000e+01
-1.758195514164395235e+00 -1.996093750000000000e+01
-1.749804474040811186e+00 -1.871093750000000000e+01
-1.737297907151921450e+00 -1.948632812500000000e+01
-1.729013849719430951e+00 -1.851171875000000000e+01
-1.716529041603203964e+00 -1.776171875000000000e+01
-1.708296103744887162e+00 -1.395507812500000000e+01
-1.695513908779776813e+00 -1.607421875000000000e+01
-1.686953021410097620e+00 -1.562500000000000000e+01
-1.674311507798352139e+00 -1.495507812500000000e+01
-1.662397085707576494e+00 -1.117968750000000000e+01
-1.651424161920411748e+00 -1.241796875000000000e+01
-1.640795097740570085e+00 -1.736914062500000000e+01
-1.628751049706183451e+00 -1.090234375000000000e+01
-1.618597841839305218e+00 -1.096093750000000000e+01
-1.607599518032602148e+00 -4.736328125000000000e+00
-1.594808380636527190e+00 -6.470703125000000000e+00
-1.586755688478557857e+00 -4.835937500000000000e+00
-1.574234357121454764e+00 -4.697265625000000000e+00
-1.565879068562930243e+00 -1.460937500000000000e+00
-1.553363479950004233e+00 1.617187500000000000e+00
-1.544986072752744022e+00 3.617187500000000000e+00
-1.532346424282874153e+00 1.117187500000000000e+00
-1.524158524228349521e+00 5.003906250000000000e+00
-1.511381992645269179e+00 2.531250000000000000e+00
-1.501369352588023176e+00 9.232421875000000000e+00
-1.489305587880052073e+00 8.746093750000000000e+00
-1.478174086105079610e+00 8.375000000000000000e+00
-1.467228933210954267e+00 1.314843750000000000e+01
-1.456569631812687504e+00 1.343750000000000000e+01
-1.444830936198359339e+00 1.783593750000000000e+01
-1.434369306840759251e+00 1.985156250000000000e+01
-1.423597204063522526e+00 2.167968750000000000e+01
-1.410902700343717342e+00 1.939648437500000000e+01
-1.402773436677639651e+00 2.489648437500000000e+01
-1.390328310586042448e+00 2.388085937500000000e+01
-1.381781498706835976e+00 3.128906250000000000e+01
-1.369389694161045057e+00 3.036132812500000000e+01
-1.360919507140296858e+00 3.421679687500000000e+01
-1.348300482414774848e+00 2.991406250000000000e+01
-1.340306645088366722e+00 3.987500000000000000e+01
-1.327352471352201135e+00 3.411328125000000000e+01
-1.317136043775478882e+00 4.383203125000000000e+01
-1.305077945568744013e+00 4.441015625000000000e+01
-1.294095548656128969e+00 4.885156250000000000e+01
-1.283636024969135647e+00 4.890234375000000000e+01
-1.272456802153262956e+00 4.875976562500000000e+01
-1.260619265124640620e+00 5.426953125000000000e+01
-1.248140971753977979e+00 5.423828125000000000e+01
-1.239505914418204569e+00 5.756445312500000000e+01
-1.226928223194112988e+00 5.511132812500000000e+01
-1.218664775149076007e+00 6.301562500000000000e+01
-1.206056602389431021e+00 6.604687500000000000e+01
-1.197859439389109326e+00 7.110351562500000000e+01
-1.185426030396866892e+00 6.657226562500000000e+01
-1.177231024880425636e+00 7.446679687500000000e+01
-1.164525784348366955e+00 7.157812500000000000e+01
-1.156560805311254825e+00 8.127343750000000000e+01
-1.143366135429184638e+00 7.810351562500000000e+01
-1.131939783257491783e+00 8.590234375000000000e+01
-1.120852901443692318e+00 8.443359375000000000e+01
-1.110011103944794186e+00 8.721093750000000000e+01
-1.099401499598286591e+00 8.809570312500000000e+01
-1.088394044461253429e+00 9.080468750000000000e+01
-1.076557428517377346e+00 9.371679687500000000e+01
-1.063527744581220347e+00 9.466406250000000000e+01
-1.055567405566634420e+00 1.003417968750000000e+02
-1.043022687256302206e+00 9.819140625000000000e+01
-1.034642226301311752e+00 1.046914062500000000e+02
-1.022082385948689165e+00 1.066601562500000000e+02
-1.013861541490472362e+00 1.066953125000000000e+02
-1.001385267343982477e+00 1.062734375000000000e+02
-9.931090189710989335e-01 1.141054687500000000e+02
-9.805604729404109321e-01 1.129609375000000000e+02
-9.724159588934870868e-01 1.154140625000000000e+02
-9.594215624807969078e-01 1.165195312500000000e+02
-9.475079113765385586e-01 1.180781250000000000e+02
-9.362805142606962505e-01 1.185136718750000000e+02
-9.260633730788843110e-01 1.217617187500000000e+02
-9.155073475364474689e-01 1.231347656250000000e+02
-9.039385135132178561e-01 1.223945312500000000e+02
-8.925843040841012765e-01 1.249121093750000000e+02
-8.795866792848361371e-01 1.245742187500000000e+02
-8.715742372713854991e-01 1.296757812500000000e+02
-8.591114950316800503e-01 1.293203125000000000e+02
-8.507243315647965431e-01 1.365781250000000000e+02
-8.381580378270339082e-01 1.298847656250000000e+02
-8.299459633055992214e-01 1.342851562500000000e+02
-8.174005876802805659e-01 1.333359375000000000e+02
-8.091042958666552209e-01 1.339765625000000000e+02
-7.965556200531995756e-01 1.334335937500000000e+02
-7.884621781076734948e-01 1.313554687500000000e+02
-7.753210983287992519e-01 1.323554687500000000e+02
-7.635321071146758953e-01 1.310371093750000000e+02
-7.527621689813717154e-01 1.321289062500000000e+02
-7.420930554496010245e-01 1.301250000000000000e+02
-7.309104639830135142e-01 1.313828125000000000e+02
-7.195579792055060153e-01 1.272968750000000000e+02
-7.086070716073482600e-01 1.288027343750000000e+02
-6.956757885249640339e-01 1.221523437500000000e+02
-6.875240014251851051e-01 1.245000000000000000e+02
-6.749561485189730092e-01 1.218417968750000000e+02
-6.666031556104954348e-01 1.187539062500000000e+02
-6.541995675468896820e-01 1.247460937500000000e+02
-6.460119061428066800e-01 1.165039062500000000e+02
-6.334965170475737040e-01 1.186171875000000000e+02
-6.250927577359277620e-01 1.120292968750000000e+02
-6.125266555300878935e-01 1.082500000000000000e+02
-6.033673662915841618e-01 1.061562500000000000e+02
-5.913882187191621398e-01 1.027832031250000000e+02
-5.795626050297286724e-01 9.867578125000000000e+01
-5.691701973954028659e-01 9.546679687500000000e+01
-5.578863920793235565e-01 9.799609375000000000e+01
-5.463864633988073649e-01 8.758203125000000000e+01
-5.353302077823318683e-01 8.935351562500000000e+01
-5.246384877379188794e-01 8.109765625000000000e+01
-5.117725307305196480e-01 7.965625000000000000e+01
-5.036239836318365803e-01 7.095703125000000000e+01
-4.910503891037620861e-01 7.283789062500000000e+01
-4.826763339820843157e-01 5.999218750000000000e+01
-4.702899087230338893e-01 6.445507812500000000e+01
-4.618605420129640038e-01 5.501953125000000000e+01
-4.494953665477279259e-01 5.107226562500000000e+01
-4.411615690535999335e-01 4.475390625000000000e+01
-4.285142455240968928e-01 4.207812500000000000e+01
-4.180977794731166597e-01 3.461718750000000000e+01
-4.072952917221073221e-01 3.685937500000000000e+01
-3.952349189220107917e-01 2.579296875000000000e+01
-3.849736437049617876e-01 2.737890625000000000e+01
-3.737433829836085408e-01 1.795312500000000000e+01
-3.619003320931799550e-01 1.017382812500000000e+01
-3.500873015802934418e-01 1.033789062500000000e+01
-3.406549111689116671e-01 -1.113281250000000000e+00
-3.278341366353512143e-01 -2.886718750000000000e+00
-3.197128589360787032e-01 -1.002539062500000000e+01
-3.072448314928575286e-01 -9.199218750000000000e+00
-2.986812270141108172e-01 -2.169921875000000000e+01
-2.863796806812715090e-01 -2.261718750000000000e+01
-2.777560622963388681e-01 -3.033203125000000000e+01
-2.655337958543722010e-01 -3.196875000000000000e+01
-2.572336908144077228e-01 -3.783593750000000000e+01
-2.444071323925118833e-01 -4.426171875000000000e+01
-2.332165062552089552e-01 -4.593945312500000000e+01
-2.230976248465292855e-01 -4.823242187500000000e+01
-2.111980931796431094e-01 -5.579101562500000000e+01
-2.010794236201949303e-01 -5.529296875000000000e+01
-1.894579216915897035e-01 -6.285742187500000000e+01
-1.779955672978577041e-01 -6.385937500000000000e+01
-1.652043448513129675e-01 -6.847656250000000000e+01
-1.565265485338187545e-01 -7.410937500000000000e+01
-1.439261993014913088e-01 -6.927343750000000000e+01
