#Time Flux
-6.054701491832528149e+00 -1.586015625000000000e+02
-6.029426207302083895e+00 -1.887031250000000000e+02
-6.004593992144673820e+00 -1.705781250000000000e+02
-5.981260788427647412e+00 -1.748125000000000000e+02
-5.957404545311302257e+00 -1.609765625000000000e+02
-5.932939981482544312e+00 -1.496250000000000000e+02
-5.909480120109410706e+00 -1.808593750000000000e+02
-5.884079728466453219e+00 -1.789531250000000000e+02
-5.858968515529365817e+00 -1.917578125000000000e+02
-5.834803621567854037e+00 -1.938593750000000000e+02
-5.811516348274921029e+00 -1.544062500000000000e+02
-5.787136730433836362e+00 -1.695937500000000000e+02
-5.763220127321201147e+00 -1.764843750000000000e+02
-5.738244526040542581e+00 -1.541562500000000000e+02
-5.713048320248336864e+00 -1.720078125000000000e+02
-5.690391281802710921e+00 -1.694687500000000000e+02
-5.666463781827186352e+00 -1.652343750000000000e+02
-5.641248520054904958e+00 -1.861250000000000000e+02
-5.617112794134282439e+00 -1.554140625000000000e+02
-5.592763324681314430e+00 -2.024531250000000000e+02
-5.568251983650863934e+00 -1.565468750000000000e+02
-5.544712578275859727e+00 -1.764687500000000000e+02
-5.521194620069547199e+00 -1.986171875000000000e+02
-5.496067567186763370e+00 -1.648437500000000000e+02
-5.470724982662456881e+00 -1.707812500000000000e+02
-5.446567407965059004e+00 -1.751484375000000000e+02
-5.422678919087427829e+00 -1.498125000000000000e+02
-5.398747656027168773e+00 -1.651250000000000000e+02
-5.375023011776395521e+00 -1.922500000000000000e+02
-5.350275948983874486e+00 -1.706093750000000000e+02
-5.326424717015388666e+00 -1.790625000000000000e+02
-5.301737525783970284e+00 -1.817968750000000000e+02
-5.277725761404376215e+00 -1.509062500000000000e+02
-5.253076108517280574e+00 -1.608281250000000000e+02
-5.228893432985689316e+00 -1.302968750000000000e+02
-5.204808384424580936e+00 -1.922812500000000000e+02
-5.180207203824057416e+00 -1.520156250000000000e+02
-5.156463519338217338e+00 -1.540156250000000000e+02
-5.133045017103651020e+00 -1.434140625000000000e+02
-5.107617212039180288e+00 -1.515000000000000000e+02
-5.082704396352305309e+00 -1.733593750000000000e+02
-5.058853184912141643e+00 -1.549218750000000000e+02
-5.035024448740472280e+00 -1.488046875000000000e+02
-5.010508223124219285e+00 -1.586250000000000000e+02
-4.986251869276674853e+00 -1.652656250000000000e+02
-4.962127911342879116e+00 -1.478906250000000000e+02
-4.938901641200814652e+00 -1.719375000000000000e+02
-4.913512541890519003e+00 -1.776250000000000000e+02
-4.888849753427376044e+00 -1.656328125000000000e+02
-4.864730499883069825e+00 -1.825468750000000000e+02
-4.840229215091131465e+00 -1.261484375000000000e+02
-4.816581970368901011e+00 -1.628281250000000000e+02
-4.792168857682732153e+00 -1.297656250000000000e+02
-4.768236598714931773e+00 -1.295234375000000000e+02
-4.744695586025738265e+00 -1.506406250000000000e+02
-4.718624163060940901e+00 -1.396796875000000000e+02
-4.694463149233524035e+00 -1.290312500000000000e+02
-4.670902857194814572e+00 -1.231250000000000000e+02
-4.646194931491134383e+00 -1.180625000000000000e+02
-4.622283268014456326e+00 -1.299375000000000000e+02
-4.598006321373322436e+00 -1.326640625000000000e+02
-4.573899162865320278e+00 -1.196406250000000000e+02
-4.550303100105420384e+00 -1.340078125000000000e+02
-4.525484332058610448e+00 -1.233750000000000000e+02
-4.499995650877650633e+00 -1.150625000000000000e+02
-4.476498681777218991e+00 -1.160625000000000000e+02
-4.451984767785507557e+00 -1.109765625000000000e+02
-4.428361651281214506e+00 -1.112109375000000000e+02
-4.403714154979343931e+00 -1.181953125000000000e+02
-4.379998581776956001e+00 -1.278125000000000000e+02
-4.356446021681005476e+00 -1.523515625000000000e+02
-4.331273275019299263e+00 -1.213437500000000000e+02
-4.306223605438251667e+00 -1.364062500000000000e+02
-4.282652916691578326e+00 -9.516406250000000000e+01
-4.257953205968458832e+00 -9.870312500000000000e+01
-4.234055058631916779e+00 -1.079609375000000000e+02
-4.210215814017228553e+00 -1.318125000000000000e+02
-4.185881774647715048e+00 -1.063046875000000000e+02
-4.162065631836494362e+00 -1.026093750000000000e+02
-4.137253417710368808e+00 -9.972656250000000000e+01
-4.112370647038215310e+00 -1.040937500000000000e+02
-4.088267039101982192e+00 -1.229062500000000000e+02
-4.064109546929085326e+00 -1.019453125000000000e+02
-4.040129321631724224e+00 -1.000312500000000000e+02
-4.015467668597512585e+00 -8.446875000000000000e+01
-3.991658702414770943e+00 -9.570312500000000000e+01
-3.968151138446152970e+00 -1.255156250000000000e+02
-3.943044963834068994e+00 -9.789843750000000000e+01
-3.917973952614236310e+00 -8.659375000000000000e+01
-3.894283250229086946e+00 -7.776562500000000000e+01
-3.870862307067699959e+00 -1.178906250000000000e+02
-3.845827169863483164e+00 -1.123906250000000000e+02
-3.821964793553288331e+00 -1.265937500000000000e+02
-3.797534699286753579e+00 -1.117812500000000000e+02
-3.773828183067134745e+00 -9.083593750000000000e+01
-3.749207750436887920e+00 -7.596875000000000000e+01
-3.724130946054383884e+00 -9.413281250000000000e+01
-3.700035471398212650e+00 -1.072656250000000000e+02
-3.676510228250027268e+00 -8.973437500000000000e+01
-3.651902779206324112e+00 -8.931250000000000000e+01
-3.627439037554900381e+00 -7.790625000000000000e+01
-3.603468860938960461e+00 -9.692187500000000000e+01
-3.579947149861947508e+00 -1.056640625000000000e+02
-3.554691096995078681e+00 -9.337500000000000000e+01
-3.530490799646276656e+00 -9.595312500000000000e+01
-3.506152447988998944e+00 -7.060937500000000000e+01
-3.482612337914151368e+00 -1.000781250000000000e+02
-3.457602489842962257e+00 -8.896093750000000000e+01
-3.433713797180043770e+00 -8.864062500000000000e+01
-3.409213248725183831e+00 -7.801562500000000000e+01
-3.385590803564891615e+00 -5.757812500000000000e+01
-3.360971250681593858e+00 -6.481250000000000000e+01
-3.336473089014411642e+00 -8.456250000000000000e+01
-3.311803978433079720e+00 -3.962500000000000000e+01
