#Time Flux
-1.519934487760022712e+00 7.441406250000000000e-01
-1.513598620752641288e+00 3.854980468750000000e+00
-1.508022638558616180e+00 4.638671875000000000e-01
-1.501448571992547443e+00 3.978515625000000000e+00
-1.495468277085797659e+00 2.938964843750000000e+00
-1.489399362468444288e+00 1.470703125000000000e+00
-1.483413606469921042e+00 3.160156250000000000e+00
-1.477171393342659123e+00 5.273437500000000000e-01
-1.471163945521144711e+00 1.280273437500000000e+00
-1.465187862373571015e+00 6.093750000000000000e-01
-1.459054550394399463e+00 -1.702148437500000000e+00
-1.452873924799091832e+00 3.247070312500000000e+00
-1.446890372438194738e+00 -7.333984375000000000e-01
-1.440801307446947455e+00 3.906250000000000000e-01
-1.434503209678547719e+00 2.468750000000000000e+00
-1.428476333551355282e+00 -1.534179687500000000e+00
-1.422754519405895479e+00 1.428710937500000000e+00
-1.416384596264147255e+00 1.005859375000000000e-01
-1.410044431642544893e+00 1.017089843750000000e+00
-1.404192945887900557e+00 -1.106445312500000000e+00
-1.398341125731078272e+00 -2.802734375000000000e-01
-1.392285611627927189e+00 -1.323242187500000000e-01
-1.385967544511255589e+00 -2.278320312500000000e+00
-1.379904078417005131e+00 1.415039062500000000e+00
-1.373922459785180905e+00 5.668945312500000000e-01
-1.367638750701233974e+00 -3.200683593750000000e+00
-1.361662984512934216e+00 -1.269531250000000000e-02
-1.355747882661810344e+00 1.251464843750000000e+00
-1.349249167277151606e+00 -1.081054687500000000e+00
-1.343584048073713788e+00 -2.177734375000000000e-01
-1.337229123125582397e+00 -2.622070312500000000e+00
-1.331099055899775507e+00 2.581054687500000000e+00
-1.324900346433893539e+00 -2.039062500000000000e+00
-1.318913428736300908e+00 -1.930664062500000000e+00
-1.312807547374776895e+00 -4.384765625000000000e-01
-1.306542774623806302e+00 -1.762695312500000000e+00
-1.300624712433426922e+00 -6.835937500000000000e-01
-1.294650842896889920e+00 1.399414062500000000e+00
-1.288342480388803502e+00 -5.190429687500000000e-01
-1.282533314162122018e+00 -2.602539062500000000e+00
-1.276092416042456712e+00 -1.580078125000000000e+00
-1.270373319810444102e+00 1.445312500000000000e-01
-1.264250670341749760e+00 -6.328125000000000000e-01
-1.258020771123170789e+00 -3.858398437500000000e+00
-1.251986600015227324e+00 -5.126953125000000000e-01
-1.245687785274497195e+00 -4.589843750000000000e-01
-1.239970224295765533e+00 1.080566406250000000e+00
-1.233708734461342438e+00 -5.488281250000000000e-01
-1.227517905362719652e+00 -2.028808593750000000e+00
-1.221424258853012645e+00 5.527343750000000000e-01
-1.215215259262461878e+00 -2.420410156250000000e+00
-1.209486668036536372e+00 6.274414062500000000e-01
-1.203252277702882900e+00 -1.437011718750000000e+00
-1.196956846052716017e+00 -3.515625000000000000e-02
-1.191079873435891834e+00 -7.978515625000000000e-01
-1.184864080379905538e+00 -1.881835937500000000e+00
-1.178989854302328943e+00 -1.406250000000000000e+00
-1.172686144923445362e+00 -1.328613281250000000e+00
-1.166242738021133540e+00 -1.894042968750000000e+00
-1.160728272597124189e+00 -2.719726562500000000e+00
-1.154586254046155780e+00 -2.837890625000000000e+00
-1.148526170247005318e+00 -2.154296875000000000e+00
-1.142137434134234297e+00 -3.424804687500000000e+00
-1.136124988372354316e+00 -3.341796875000000000e+00
-1.130306935319135953e+00 -3.432617187500000000e+00
-1.123787541292873726e+00 -3.692382812500000000e+00
-1.117816443940491844e+00 -3.302246093750000000e+00
-1.111780797559625000e+00 -5.433593750000000000e+00
-1.105764119671506229e+00 -2.607421875000000000e-01
-1.099734542233202106e+00 -4.300781250000000000e+00
-1.093481940469687608e+00 -3.760253906250000000e+00
-1.087474867050431726e+00 -2.665039062500000000e+00
-1.081441591307263472e+00 -3.869140625000000000e+00
-1.075421893842803733e+00 -4.366210937500000000e+00
-1.069177628602709262e+00 -4.550781250000000000e+00
-1.062748576823168811e+00 -2.153320312500000000e+00
-1.057120541020251991e+00 -4.686523437500000000e+00
-1.050924019405446330e+00 -6.085937500000000000e+00
-1.044986059473044904e+00 -2.865234375000000000e+00
-1.038606753686746487e+00 -3.568359375000000000e+00
-1.032552112295420876e+00 -2.562500000000000000e+00
-1.026900490746050387e+00 -4.487304687500000000e+00
-1.020414267183255674e+00 -6.312500000000000000e+00
-1.014313593935660229e+00 -2.609375000000000000e+00
-1.008298708504914210e+00 -4.800781250000000000e+00
-1.001962952156157272e+00 -5.331054687500000000e+00
-9.962580887250505057e-01 -3.199218750000000000e+00
-9.898415901166961461e-01 -5.660644531250000000e+00
-9.840256921829944048e-01 -4.563476562500000000e+00
-9.777727157760844889e-01 -2.176757812500000000e+00
-9.716762614707441514e-01 -3.963867187500000000e+00
-9.657197050171992814e-01 -4.898437500000000000e+00
