#Time Flux
-5.664878678406326529e-01 -3.734375000000000000e+01
-5.639084993474092755e-01 -4.079687500000000000e+01
-5.617245593186761532e-01 -3.351562500000000000e+01
-5.596268525884524614e-01 -3.790625000000000000e+01
-5.573870947203358739e-01 -4.906250000000000000e+01
-5.548354342242336479e-01 -4.781250000000000000e+01
-5.525372326318871430e-01 -3.790625000000000000e+01
-5.504022441535656451e-01 -5.104687500000000000e+01
-5.483655554757678185e-01 -4.000000000000000000e+01
-5.460419952216113426e-01 -3.317187500000000000e+01
-5.434994998789721699e-01 -3.659375000000000000e+01
-5.413323034177413007e-01 -4.428125000000000000e+01
-5.392224690930271791e-01 -3.615625000000000000e+01
-5.369528791136799484e-01 -4.415625000000000000e+01
-5.344785175354178630e-01 -4.735937500000000000e+01
-5.321104182061482391e-01 -4.306250000000000000e+01
-5.299819539762848919e-01 -4.793750000000000000e+01
-5.279316125610893362e-01 -5.170312500000000000e+01
-5.255898753970813519e-01 -4.082812500000000000e+01
-5.230432639711501963e-01 -5.071875000000000000e+01
-5.208976085510332865e-01 -4.218750000000000000e+01
-5.188181163239709015e-01 -3.837500000000000000e+01
-5.165153190568818609e-01 -5.420312500000000000e+01
-5.141195851444084752e-01 -4.925000000000000000e+01
-5.116767833991708869e-01 -6.006250000000000000e+01
-5.095477621183546191e-01 -4.634375000000000000e+01
-5.075021394534373620e-01 -3.537500000000000000e+01
-5.051846685208234433e-01 -5.228125000000000000e+01
-5.026361427037135954e-01 -4.721875000000000000e+01
-5.003809525750471110e-01 -4.393750000000000000e+01
-4.983292301446353711e-01 -4.671875000000000000e+01
-4.960841470904524542e-01 -5.406250000000000000e+01
-4.937241843172062161e-01 -4.660937500000000000e+01
-4.912432985933357088e-01 -5.915625000000000000e+01
-4.891455655815786230e-01 -5.000000000000000000e+01
-4.870636760583255676e-01 -4.192187500000000000e+01
-4.847502692107896749e-01 -4.403125000000000000e+01
-4.821548300578908375e-01 -5.206250000000000000e+01
-4.799471637469610030e-01 -4.831250000000000000e+01
-4.779527967830721202e-01 -3.918750000000000000e+01
-4.756605875539674511e-01 -6.162500000000000000e+01
-4.732904741604118115e-01 -4.425000000000000000e+01
-4.708208656016079630e-01 -6.337500000000000000e+01
-4.686960082055446897e-01 -4.757812500000000000e+01
-4.666356141917744615e-01 -3.790625000000000000e+01
-4.643578367726421963e-01 -4.562500000000000000e+01
-4.617454864621244326e-01 -4.132812500000000000e+01
-4.596686507790654908e-01 -4.662500000000000000e+01
-4.574920181311137313e-01 -3.309375000000000000e+01
-4.552150428639580859e-01 -5.743750000000000000e+01
-4.528567137995098690e-01 -4.435937500000000000e+01
-4.503879976670837060e-01 -4.473437500000000000e+01
-4.483063458449147998e-01 -4.506250000000000000e+01
-4.461957888028809105e-01 -3.103125000000000000e+01
-4.438676135137282763e-01 -3.950000000000000000e+01
-4.412896747790111540e-01 -4.321875000000000000e+01
-4.391282294767122618e-01 -3.595312500000000000e+01
-4.370872781646970573e-01 -2.981250000000000000e+01
-4.347820372037425329e-01 -5.578125000000000000e+01
-4.323813118877755102e-01 -4.909375000000000000e+01
-4.299426946039694997e-01 -4.356250000000000000e+01
-4.278730465468949529e-01 -3.893750000000000000e+01
-4.257689873068115638e-01 -3.243750000000000000e+01
-4.234889907206069726e-01 -3.898437500000000000e+01
-4.208995663930630293e-01 -3.668750000000000000e+01
-4.188030438087371188e-01 -4.271875000000000000e+01
-4.166267685558233680e-01 -2.407812500000000000e+01
-4.143432181996571373e-01 -3.821875000000000000e+01
-4.119891923901279895e-01 -4.026562500000000000e+01
-4.095229325482327987e-01 -3.825000000000000000e+01
-4.073954792785952073e-01 -2.789062500000000000e+01
-4.053442752928912984e-01 -3.746875000000000000e+01
-4.030545677236931912e-01 -2.962500000000000000e+01
-4.004679293131720996e-01 -2.918750000000000000e+01
-3.983396162486578795e-01 -3.531250000000000000e+01
-3.961664275090597265e-01 -1.637500000000000000e+01
-3.939125624322441510e-01 -3.900000000000000000e+01
-3.915553813012495610e-01 -3.159375000000000000e+01
-3.890902998443457328e-01 -2.950000000000000000e+01
-3.870314613636689494e-01 -3.062500000000000000e+01
-3.849108333242565738e-01 -2.210937500000000000e+01
-3.826201946689524735e-01 -2.665625000000000000e+01
-3.800343470095048914e-01 -1.932812500000000000e+01
-3.779061817342417307e-01 -2.259375000000000000e+01
-3.757339872360616617e-01 -1.506250000000000000e+01
-3.734813390287601287e-01 -2.618750000000000000e+01
-3.710776804051878486e-01 -3.225000000000000000e+01
-3.686578950099717034e-01 -2.012500000000000000e+01
-3.665485089222908499e-01 -2.156250000000000000e+01
-3.644497588431223623e-01 -1.360937500000000000e+01
-3.621405806917834536e-01 -7.968750000000000000e+00
-3.596007148800799413e-01 -1.128125000000000000e+01
-3.574727469869949381e-01 -1.853125000000000000e+01
-3.553013469688166559e-01 -2.300000000000000000e+01
-3.530577868991999768e-01 -2.406250000000000000e+01
-3.506879084661607138e-01 -1.178125000000000000e+01
-3.482468011625576843e-01 -2.179687500000000000e+01
-3.461397488847548498e-01 -1.610937500000000000e+01
-3.440260169604261176e-01 -1.640625000000000000e+00
-3.417512987256758894e-01 -1.734375000000000000e+00
-3.391728320779026085e-01 -1.221875000000000000e+01
-3.370394618880063753e-01 -1.412500000000000000e+01
-3.348963211445772359e-01 -1.468750000000000000e+00
-3.326193637600702857e-01 -1.359375000000000000e+01
-3.303099820639252560e-01 -8.484375000000000000e+00
-3.277928550331923319e-01 -6.093750000000000000e+00
-3.256829586462242077e-01 -5.687500000000000000e+00
-3.236027639234193565e-01 -4.718750000000000000e+00
-3.212749819693359044e-01 7.218750000000000000e+00
-3.188267831509192796e-01 -5.343750000000000000e+00
-3.166393720090927566e-01 1.225000000000000000e+01
-3.144910274486822921e-01 -3.781250000000000000e+00
-3.121868288705194061e-01 -1.343750000000000000e+01
-3.098772607679782798e-01 -2.000000000000000000e+00
-3.073599679498406623e-01 -3.625000000000000000e+00
-3.052500337362413774e-01 8.875000000000000000e+00
-3.031693980321974458e-01 1.093750000000000000e+01
-3.008400598411469229e-01 1.120312500000000000e+01
-2.983503988326554612e-01 1.245312500000000000e+01
-2.961386645718175892e-01 1.353125000000000000e+01
-2.940307896800644638e-01 8.078125000000000000e+00
-2.917493265766384347e-01 5.843750000000000000e+00
-2.893866224612695603e-01 -7.656250000000000000e+00
-2.869278150054812571e-01 1.634375000000000000e+01
