#Time Flux
-9.356348439687280916e-01 -6.263671875000000000e+00
-9.317642438327311538e-01 -4.140625000000000000e+00
-9.281036976972245611e-01 -7.074218750000000000e+00
-9.244647363375406712e-01 -8.367187500000000000e+00
-9.205059249143232591e-01 -5.484375000000000000e+00
-9.168635750902467407e-01 -3.066406250000000000e+00
-9.132908448154921643e-01 -3.671875000000000000e-01
-9.094036572787445039e-01 -4.382812500000000000e+00
-9.056290399603312835e-01 -6.296875000000000000e+00
-9.017981985780352261e-01 -5.292968750000000000e+00
-8.981499373403494246e-01 -4.046875000000000000e+00
-8.944199933539493941e-01 -5.671875000000000000e+00
-8.905133659609418828e-01 -6.289062500000000000e-01
-8.867985921679064631e-01 -4.929687500000000000e+00
-8.831961270661849994e-01 -7.765625000000000000e+00
-8.794315095656202175e-01 -7.355468750000000000e+00
-8.756158015276014339e-01 -6.882812500000000000e+00
-8.719080392766045406e-01 -5.648437500000000000e+00
-8.681121916451957077e-01 -7.796875000000000000e+00
-8.643767132234643213e-01 -7.800781250000000000e+00
-8.604988103434152436e-01 -8.558593750000000000e+00
-8.569081964160432108e-01 -1.617187500000000000e+00
-8.531732915944303386e-01 -9.253906250000000000e+00
-8.494133296335348859e-01 -7.546875000000000000e+00
-8.455304189774324186e-01 -9.492187500000000000e+00
-8.421116317840642296e-01 -6.324218750000000000e+00
-8.381782263422792312e-01 -6.066406250000000000e+00
-8.343310973323241342e-01 -9.210937500000000000e+00
-8.305878876417409629e-01 -2.039062500000000000e+00
-8.268786499684210867e-01 -6.000000000000000000e+00
-8.230949554563267156e-01 -7.914062500000000000e+00
-8.192948822834296152e-01 -1.201562500000000000e+01
-8.156165098043857142e-01 -8.039062500000000000e+00
-8.120745870110113174e-01 -7.464843750000000000e+00
-8.081114579181303270e-01 -7.882812500000000000e+00
-8.043043947873229627e-01 -4.332031250000000000e+00
-8.007321824043174274e-01 -7.960937500000000000e+00
-7.968902186003106181e-01 -6.160156250000000000e+00
-7.931162927125114948e-01 -1.448828125000000000e+01
-7.892631816794164479e-01 -6.468750000000000000e+00
-7.856854631463647820e-01 -8.988281250000000000e+00
-7.818974016736319754e-01 -1.657421875000000000e+01
-7.779873282306652982e-01 -8.121093750000000000e+00
-7.742860925391141791e-01 -1.016406250000000000e+01
-7.707403080421499908e-01 -4.023437500000000000e+00
-7.667697674914961681e-01 -1.399218750000000000e+01
-7.631511596628115512e-01 -7.875000000000000000e+00
-7.594426971991197206e-01 -1.282031250000000000e+01
-7.555911673189257272e-01 -1.027343750000000000e+01
-7.518731661621131934e-01 -8.886718750000000000e+00
-7.481181461407686584e-01 -9.398437500000000000e+00
-7.444675713632022962e-01 -8.460937500000000000e+00
-7.408757045523088891e-01 -1.198046875000000000e+01
-7.368240793039149139e-01 -6.101562500000000000e+00
-7.331220837550063152e-01 -8.343750000000000000e+00
-7.294401657927664928e-01 -3.707031250000000000e+00
-7.257264775835210457e-01 -1.321093750000000000e+01
-7.218577708517841529e-01 -9.230468750000000000e+00
-7.181481545158021618e-01 -1.596093750000000000e+01
-7.143677519561606459e-01 -9.398437500000000000e+00
-7.106101078679785132e-01 -7.605468750000000000e+00
-7.067875465509132482e-01 -1.481640625000000000e+01
-7.032104666468512733e-01 -1.439062500000000000e+01
-6.995219892742170487e-01 -1.146093750000000000e+01
-6.955701646656962112e-01 -8.121093750000000000e+00
-6.917888302741630469e-01 -1.180859375000000000e+01
-6.882347861137532163e-01 -9.830078125000000000e+00
-6.843402734739356674e-01 -1.342968750000000000e+01
-6.805099220291594975e-01 -1.339062500000000000e+01
-6.767997227143496275e-01 -1.652343750000000000e+01
